name,url,price,revenue,profit,description,source,category
32-Year-Old Vending Machine and Refills Dropship Business | 16.8% Repeat Order | Premium Domain,https://quietlight.com/ecommerce-businesses-for-sale/,"$630,000","$2,787,541","$192,585",,QuietLight,Amazon FBA
Premium Snack Subscription Box Biz | US Supply Chain | 36% Repeat Customer Rate | 58% SDE Growth,https://quietlight.com/listings/17224025/,"$615,000","$519,702","$186,558",,QuietLight,Amazon FBA
Shopify Superfood Greens Brand | 40% Subscription Revenue | High Margins | Marketing Needed,https://quietlight.com/ecommerce-businesses-for-sale/,"$600,000","$833,300","$230,965",,QuietLight,Amazon FBA
3+ Year Old Premium KVM Business – 98.7% YoY SDE Growth – Multiple Growth Opportunities,https://quietlight.com/ecommerce-businesses-for-sale/,"$599,000","$1,022,090","$207,816",,QuietLight,Amazon FBA
"20-Year-Old Maternity Line | Evergreen Styles | Wholesale, Drop-Ship, and DTC Channels | $184k SDE",https://quietlight.com/listings/15616862/,"$590,000","$812,145","$184,609",,QuietLight,Amazon FBA
SBA Shopify Custom Home Decor | $130 AOV | High Gross Margins | US Manufacturing,https://quietlight.com/ecommerce-businesses-for-sale/,"$575,000","$1,868,680","$240,457",,QuietLight,Amazon FBA
5-Year-Old Video Editing Digital Products Business | 35% TTM SDE Growth,https://quietlight.com/listings/17148431/,"$550,000","$723,017","$212,343",,QuietLight,Amazon FBA
SBA Pre-Qualified: 15-Year-Old Ecommerce Website | $171K SDE | 40% Net Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$545,000","$413,186","$171,584",,QuietLight,Amazon FBA
Automated Resume-Writing Service | 78% Net Margins | Little Marketing | Seller Financing Available,https://quietlight.com/ecommerce-businesses-for-sale/,"$500,000","$314,444","$250,046",,QuietLight,Amazon FBA
Cash-Strapped Health Food CPG Brand with Costco PO in Need of Buyer with Capital,https://quietlight.com/ecommerce-businesses-for-sale/,"$500,000","$2,708,082","$819,650",,QuietLight,Amazon FBA
6-Year-Old Drop-Ship Business Selling Japanese Goods | Strong Growth in 2025 | 32% Net Margins,https://quietlight.com/listings/17555420/,"$499,999","$402,855","$132,309",,QuietLight,Amazon FBA
8-Year-Old DTC Shopify Everyday Carry Business,https://quietlight.com/ecommerce-businesses-for-sale/,"$499,000","$1,521,582","$185,802",,QuietLight,Amazon FBA
"High-Margin, Premium Hemp Products | 40% Repeat Purchase Rate | YOY TTM 285% Rev & 388% SDE Growth",https://quietlight.com/listings/15140904/,"$499,000","$717,530","$200,131",,QuietLight,Amazon FBA
Growing Jewelry Business | +137% YoY Revenue | +92% SDE | 76% Gross Margins,https://quietlight.com/ecommerce-businesses-for-sale/,"$480,000","$1,234,105","$232,629",,QuietLight,Amazon FBA
Boho Jewelry Shopify Based Business with Seller Financing Available | $7M+ Lifetime Sales,https://quietlight.com/ecommerce-businesses-for-sale/,"$475,000","$918,665","$151,869",,QuietLight,Amazon FBA
10-Year-Old Outdoor Living Retailer | 100% USA Suppliers | 20x ROAS,https://quietlight.com/ecommerce-businesses-for-sale/,"$450,000","$786,642","$131,044",,QuietLight,Amazon FBA
10 Year Old Amazon FBA and Shopify Nootropics Biz w/Solid Reputation & High Margins,https://quietlight.com/listings/16576760/,"$425,000","$242,047","$142,047",,QuietLight,Amazon FBA
