"source","name","price","revenue","profit","multiple","description","url"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/5/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/7/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/6/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/4/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/3/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/9/"
"QuietLight","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth","$2,050,000","$1,695,058","","1.21x","7 Year Old Amazon FBA Business Selling Lawn Tools w/37% Net Margins & Steady 3 Year Growth Asking Price $2,050,000 Revenue: $1,695,058 Income: $633,358 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/10/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/8/"
"QuietLight","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth","$2,031,460","$5,716,461","","0.36x","SBA Pre-Qualified 19-Year-Old Automotive Parts Brand | Diversified Revenue | 5% YoY SDE Growth Asking Price $2,031,460 Revenue: $5,716,461 Income: $615,594 Amazon FBA","https://quietlight.com/amazon-fba-businesses-for-sale/page/2/"
